"SL No","Question Name","Rating","Tag","URL","Solved"
"302","Minimum Number of Days to Make m Bouquets","2","Medium","https://leetcode.com/problems/minimum-number-of-days-to-make-m-bouquets/","No"
"303","Least Number of Unique Integers after K Removals","2","Medium","https://leetcode.com/problems/least-number-of-unique-integers-after-k-removals/","No"
"304","Running Sum of 1d Array","1","Easy","https://leetcode.com/problems/running-sum-of-1d-array/","No"
"305","Parallel Courses II","3","Hard","https://leetcode.com/problems/parallel-courses-ii/","No"
"306","Longest Subarray of 1's After Deleting One Element","2","Medium","https://leetcode.com/problems/longest-subarray-of-1s-after-deleting-one-element/","No"
"307","The kth Factor of n","2","Medium","https://leetcode.com/problems/the-kth-factor-of-n/","No"
"308","Average Salary Excluding the Minimum and Maximum Salary","1","Easy","https://leetcode.com/problems/average-salary-excluding-the-minimum-and-maximum-salary/","No"
"309","Paint House III","3","Hard","https://leetcode.com/problems/paint-house-iii/","No"
"310","Design Browser History","2","Medium","https://leetcode.com/problems/design-browser-history/","No"
"311","The k Strongest Values in an Array","2","Medium","https://leetcode.com/problems/the-k-strongest-values-in-an-array/","No"
"312","Shuffle the Array","1","Easy","https://leetcode.com/problems/shuffle-the-array/","Yes"
"313","Probability of a Two Boxes Having The Same Number of Distinct Balls","3","Hard","https://leetcode.com/problems/probability-of-a-two-boxes-having-the-same-number-of-distinct-balls/","No"
"314","Reorder Routes to Make All Paths Lead to the City Zero","2","Medium","https://leetcode.com/problems/reorder-routes-to-make-all-paths-lead-to-the-city-zero/","No"
"315","Maximum Area of a Piece of Cake After Horizontal and Vertical Cuts","2","Medium","https://leetcode.com/problems/maximum-area-of-a-piece-of-cake-after-horizontal-and-vertical-cuts/","No"
"316","Maximum Product of Two Elements in an Array","1","Easy","https://leetcode.com/problems/maximum-product-of-two-elements-in-an-array/","No"
"317","Find Two Non-overlapping Sub-arrays Each With Target Sum","2","Medium","https://leetcode.com/problems/find-two-non-overlapping-sub-arrays-each-with-target-sum/","No"
"318","Subrectangle Queries","2","Medium","https://leetcode.com/problems/subrectangle-queries/","No"
"319","Allocate Mailboxes","3","Hard","https://leetcode.com/problems/allocate-mailboxes/","No"
"320","Final Prices With a Special Discount in a Shop","1","Easy","https://leetcode.com/problems/final-prices-with-a-special-discount-in-a-shop/","No"
"321","Max Dot Product of Two Subsequences","3","Hard","https://leetcode.com/problems/max-dot-product-of-two-subsequences/","No"
"322","Pseudo-Palindromic Paths in a Binary Tree","2","Medium","https://leetcode.com/problems/pseudo-palindromic-paths-in-a-binary-tree/","No"
"323","Maximum Number of Vowels in a Substring of Given Length","2","Medium","https://leetcode.com/problems/maximum-number-of-vowels-in-a-substring-of-given-length/","No"
"324","Check If a Word Occurs As a Prefix of Any Word in a Sentence","1","Easy","https://leetcode.com/problems/check-if-a-word-occurs-as-a-prefix-of-any-word-in-a-sentence/","No"
"325","Maximum Number of Darts Inside of a Circular Dartboard","3","Hard","https://leetcode.com/problems/maximum-number-of-darts-inside-of-a-circular-dartboard/","No"
"326","People Whose List of Favorite Companies Is Not a Subset of Another List","2","Medium","https://leetcode.com/problems/people-whose-list-of-favorite-companies-is-not-a-subset-of-another-list/","No"
"327","Rearrange Words in a Sentence","2","Medium","https://leetcode.com/problems/rearrange-words-in-a-sentence/","No"
"328","Number of Students Doing Homework at a Given Time","1","Easy","https://leetcode.com/problems/number-of-students-doing-homework-at-a-given-time/","No"
"329","Cherry Pickup II","3","Hard","https://leetcode.com/problems/cherry-pickup-ii/","No"
"330","Course Schedule IV","2","Medium","https://leetcode.com/problems/course-schedule-iv/","No"
"331","Check If a String Contains All Binary Codes of Size K","2","Medium","https://leetcode.com/problems/check-if-a-string-contains-all-binary-codes-of-size-k/","No"
"332","Make Two Arrays Equal by Reversing Sub-arrays","1","Easy","https://leetcode.com/problems/make-two-arrays-equal-by-reversing-sub-arrays/","No"
